K_beta	Mean_C1	Mean_C2	N	N_C1	N_C2	N_Tail	pi_C1	pi_C2	pi_Tail	rcc_C1	rcc_C2	rcc_Tail	Scale_Tail	Shape_Tail	tail	Variance_C1	Variance_C2	NLL	BIC	AIC	entropy	ICL	reduced.entropy	reICL	size	sse_total	sse_0_0.1	sse_0.1_0.2	sse_0.2_0.3	sse_0.3_0.4	sse_0.4_0.5	sse_0.5_0.6	sse_0.6_0.7	sse_0.7_0.8	sse_0.8_0.9	sse_0.9_1	sample	karyotype	Mean_Tail	Variance_Tail	Mean_C3	N_C3	pi_C3	rcc_C3	Variance_C3
2	0.4278072323366867	0.1273904399317519	838	381	457	0	0.4582284712516441	0.5417715287483559	0	TRUE	TRUE	FALSE	NA	NA	FALSE	0.00433702917429172	0.00206409049961067	-733.8097822244999	-1427.2334558461073	-1455.6195644489999	18.743529830450516	-1408.4899260156567	18.743529830450505	-1408.4899260156567	6	0.003175010757999885	0.00161918044392607	5.05059977939661e-4	1.657646299868387e-4	3.174925115679907e-4	4.743283073139787e-4	8.97660157940382e-5	1.9948351296599833e-6	2.9871493126073135e-11	1.4240064701544692e-6	1.0083229665675399e-35	./160709_HMFregCPCT_FR10301926_FR10301880_CPCT02020307	1:1	NA	NA	NA	NA	NA	NA	NA
2	0.6148907795844532	0.21219481613649238	3094	147	2947	0	0.04380094210202639	0.9561990578979737	0	TRUE	FALSE	FALSE	NA	NA	FALSE	0.001864152426066795	0.012002373852396811	-2271.7333858777256	-4495.243451568653	-4531.466771755451	61.49130744691703	-4433.752144121736	61.491307446917	-4433.752144121736	6	0.010185054393224592	0.0033203485911154004	0.0031788823047325305	0.002392651065815795	0.0011454242004535077	1.2660909528329107e-4	1.5505046932097245e-5	4.777953631782878e-6	7.516722970101764e-7	2.2353324763528956e-12	1.0446072784431785e-7	./160709_HMFregCPCT_FR10301926_FR10301880_CPCT02020307	2:1	NA	NA	NA	NA	NA	NA	NA
1	0.4273581547583793	NA	1240	359	NA	881	0.24900374649790058	NA	0.7509962535020994	TRUE	NA	TRUE	0.05263157794736842	0.8490672731207909	TRUE	0.002519751872164558	NA	-540.598711403206	-1038.4602228548176	-1069.197422806412	189.06884841813547	-849.3913744366821	-0	-1038.4602228548176	6	0.01947822983823776	0.013749023668313706	0.0050532552410396765	9.034638061135011e-5	3.7791172480243634e-5	1.959578954299553e-4	6.780433564426725e-5	9.334810464712344e-6	1.10917841456624e-5	1.4113753634987177e-4	1.2248701375831595e-4	./160709_HMFregCPCT_FR10301926_FR10301880_CPCT02020307	2:0	Inf	Inf	NA	NA	NA	NA	NA
2	0.47790727584721343	0.17985676576781867	2413	226	2187	0	0.08720531739603044	0.9127946826039696	0	TRUE	FALSE	FALSE	NA	NA	FALSE	0.0015138816265194627	0.006544380897440358	-2232.626960795733	-4418.522165197715	-4453.253921591466	71.41373861152853	-4347.108426586186	71.4137386115285	-4347.108426586187	6	0.007337205183913579	0.0015565463246824634	0.0032591802526742686	0.002360112293381713	1.0506134612310944e-4	3.133460385344908e-5	2.4968996616695165e-5	1.3665625582584414e-9	1.932196681734681e-14	4.5460948242408713e-20	6.920587140833878e-30	./160709_HMFregCPCT_FR10301926_FR10301880_CPCT02020307	2:2	NA	NA	NA	NA	NA	NA	NA
2	0.46840978688424717	0.18550890037399434	2484	582	1902	0	0.2238586406117369	0.7761413593882631	0	TRUE	FALSE	FALSE	NA	NA	FALSE	0.0028939101771598484	0.006394891406024052	-1923.2437111576985	-3799.581669657077	-3834.487422315397	159.04906444079987	-3640.532605216277	159.04906444079984	-3640.5326052162773	6	0.0027581651769734276	0.0010701105458729486	9.889237768732702e-4	5.920574171257626e-4	3.860061673787082e-5	3.898041857325529e-5	2.8976270552356446e-5	5.161298262397802e-7	1.4117238729299306e-12	1.117128028538154e-20	6.0819587870528615e-31	./160709_HMFregCPCT_FR10301967_FR10301879_CPCT02020310	2:1	NA	NA	NA	NA	NA	NA	NA
2	0.6193440444843324	0.18258421473087275	1457	503	954	0	0.3438683555968712	0.6561316444031289	0	FALSE	TRUE	FALSE	NA	NA	FALSE	0.007056409651894513	0.008828152541151386	-640.5067258846743	-1237.3086429321775	-1269.0134517693486	47.6790683832778	-1189.6295745488997	47.67906838327777	-1189.6295745488997	6	0.004308478587683778	0.001521840996024732	0.001413543929667836	6.148310256440583e-4	2.0450871817164436e-4	4.3461145653419396e-5	2.2057531737379747e-4	2.101100698965394e-4	6.147682033526947e-5	1.813053353079425e-5	3.138568688832066e-11	./160709_HMFregCPCT_FR10301967_FR10301879_CPCT02020310	2:0	NA	NA	NA	NA	NA	NA	NA
2	0.37510586569902554	0.15291236475952932	3067	1473	1539	55	0.46803320196098686	0.45521586154729776	0.07675093649171534	TRUE	TRUE	FALSE	0.05555555455555555	1.3380313621399178	TRUE	0.0018236801224317074	0.0032812331952984633	-2879.263026391938	-5686.269956306848	-5740.526052783876	756.3522828986943	-4929.917673408154	153.72330622144796	-5532.5466500854	9	0.0018003732534817652	9.833029014401247e-4	4.7434614878902044e-4	1.057810680530454e-4	1.859370874973657e-4	4.9221865646841164e-5	4.5215070146574963e-07	1.7289684708772203e-7	9.760074905580134e-7	1.7704393709690826e-7	6.083079159363379e-9	./160709_HMFregCPCT_FR10301967_FR10301879_CPCT02020310	2:2	0.2199058509418418	Inf	NA	NA	NA	NA	NA
1	0.2734326507046332	NA	5897	5377	NA	520	0.8943690342370436	NA	0.10563096576295637	TRUE	NA	TRUE	0.054687499	1.214382666810218	TRUE	0.0025509104977067725	NA	-7677.654205924414	-15303.215217692825	-15343.308411848828	645.0080856110031	-14658.207132081821	-0	-15303.215217692825	6	0.0018768747479905425	4.4820487091445005e-4	2.4691648443047617e-4	9.048737658718801e-4	2.74154778188144e-4	2.2965367064137022e-6	2.3909321632265393e-7	8.749400949956597e-8	5.307405979814195e-8	3.026174676212357e-8	1.8388846795904454e-8	./160709_HMFregCPCT_FR10301974_FR10301881_CPCT02020308	1:0	0.30978041212441804	Inf	NA	NA	NA	NA	NA
1	0.215270316122618	NA	50562	48296	NA	2266	0.9422339625616672	NA	0.05776603743833271	TRUE	NA	TRUE	0.05027932860893855	1.109310894882886	TRUE	0.0016188224081762062	NA	-82034.79947766331	-164004.61322181663	-164057.59895532663	4339.641542968289	-159664.97167884835	-0	-164004.61322181663	6	0.0014694958587105587	9.786912485250725e-5	6.734516301230848e-4	6.965785734835328e-4	8.226604577927637e-7	6.747910714501057e-7	3.159045230687027e-8	3.043498255179291e-8	1.9000649274992085e-8	1.1128095587667539e-8	6.924542469713804e-9	./160709_HMFregCPCT_FR10301974_FR10301881_CPCT02020308	1:1	0.5102456353783327	Inf	NA	NA	NA	NA	NA
2	0.3456647663677901	0.17818051188041137	1030	43	987	0	0.0418961421906824	0.9581038578093176	0	TRUE	FALSE	FALSE	NA	NA	FALSE	0.0021839489530527624	0.0011121011971691889	-1833.4577022723208	-3625.2915200572997	-3654.9154045446417	14.141027376355991	-3611.150492680944	14.141027376355977	-3611.150492680944	6	0.00454531284127504	7.526225500748587e-5	0.0029791701853700875	0.0014773253339825942	1.1343671773898434e-5	2.210715818311021e-6	6.793226606251379e-10	2.672971461729783e-18	2.80465029089451e-29	1.4073815497204205e-48	7.390266522934114e-85	./160709_HMFregCPCT_FR10301974_FR10301881_CPCT02020308	2:1	NA	NA	NA	NA	NA	NA	NA
