tail,K_beta,N,N_Tail,N_C1,N_C2,pi_Tail,pi_C1,pi_C2,Mean_Tail,Mean_C1,Mean_C2,Variance_Tail,Variance_C1,Variance_C2,Scale_Tail,Shape_Tail,id,karyotype,NLL,BIC,AIC,entropy,ICL,reduced.entropy,reICL,size,PF
FALSE,2,686,0,224,462,0,0.6739184241,0.3260815759,NA,0.6500192693,0.3038165422,NA,0.0032645563,0.0046979655,NA,NA,13,2:0,-470.5724771242,-888.8979332265,-925.1449542483,8.1170316989,-880.7809015276,8.1170316989,-880.780901533,8,P
TRUE,2,3018,69,635,2314,0.0343104923,0.2092926849,0.7563968229,0.3003855214,0.4838238313,0.2307941039,Inf,0.0036562262,0.0023560121,0.051020399,1.2046011828,13,2:1,-2972.0725409817,-5847.9968862915,-5920.1450819635,263.1357687401,-5584.8611175514,74.3512203242,-5773.6456660194,12,P
TRUE,2,5134,96,1785,3253,0.0302800464,0.6243882208,0.3453317328,1.4226973126,0.3834169647,0.1842755984,Inf,0.0021436878,0.0015824886,0.050955399,1.0371464913,13,2:2,-5487.0318009658,-10871.5399175943,-10950.0636019315,516.7936353181,-10354.7462822762,165.821363514,-10705.7185540578,12,P
FALSE,2,601,0,574,27,0,0.0903891139,0.9096108861,NA,0.4640595985,0.3218663419,NA,0.0049853688,0.0174556092,NA,NA,14,2:0,-636.7286244685,-1222.2684894608,-1257.4572489371,111.8120357976,-1110.4564536632,111.8120357976,-1110.4564535216,8,F
TRUE,2,2752,66,520,2166,0.0388924333,0.776374001,0.1847335657,0.146338709,0.378524903,0.1811571074,Inf,0.0020694772,0.0015927056,0.052631599,1.5616606784,14,2:1,-3426.8268455925,-6758.6126927963,-6829.653691185,294.4513532809,-6464.1613395154,66.0819736841,-6692.5307190947,12,P
TRUE,2,2029,58,797,1174,0.0403795242,0.3963421454,0.5632783304,0.1821788374,0.4020610691,0.1981420106,Inf,0.0043985574,0.0015681094,0.052884599,1.4090251789,15,2:0,-1854.6820308666,-3617.9804816552,-3685.3640617331,278.7647804502,-3339.2157012051,132.3856622099,-3485.5948194673,12,P
TRUE,2,1250,28,155,1067,0.0311864617,0.8459453676,0.1228681707,0.0940620696,0.3220038108,0.1622202602,0.0269851319,0.0020087711,0.0010302527,0.050359699,2.1523333461,15,2:1,-1955.9990900242,-3826.4273940848,-3887.9981800484,101.104132534,-3725.3232615508,37.0958566026,-3789.3315374843,12,P
TRUE,2,180,47,5,128,0.3042528774,0.0274871477,0.668259975,0.1415770357,0.5551913076,0.2104016722,Inf,0.006895689,0.0077006606,0.051546399,1.5725428683,16,2:0,-176.0566580626,-289.7978339145,-328.1133161252,77.696381002,-212.1014529125,4.2587508406,-285.5390830735,12,F
FALSE,2,72,0,33,39,0,0.5819938715,0.4180061285,NA,0.2523427504,0.154842365,NA,0.0011453545,0.0040532108,NA,NA,16,2:1,-92.2962355191,-150.379142086,-168.5924710381,24.2200452398,-126.1590968462,24.2200452398,-126.1590810572,8,F
FALSE,2,356,0,75,281,0,0.7938089274,0.2061910726,NA,0.2797391528,0.1351036008,NA,0.0017856667,0.0018733194,NA,NA,17,2:0,-477.3862029051,-907.77295996350006,-938.7724058103,38.0739614774,-869.698998486,38.0739614774,-869.6989984914,8,P
TRUE,2,4608,44,1041,3523,0.0317012429,0.7421766823,0.2261220747,0.0906444676,0.2381131184,0.117385436,0.0140894166,0.0015985509,9.725885e-4,0.050504999,2.2582378576,17,2:1,-7150.7001812218,-14200.1737720151,-14277.4003624436,910.6888019657,-13289.4849700494,454.3418605743,-13745.8319113552,12,P
TRUE,2,3252,71,1146,2035,0.0479096832,0.3583532715,0.5937370453,0.0783745331,0.2041819934,0.103734422,0.0027527917,0.001731645,6.31067e-4,0.050359699,2.7976083248,17,2:2,-5113.1628668624,-10129.2814280767,-10202.3257337248,897.8307166957,-9231.4507113811,487.8497321339,-9641.4316961713,12,P
TRUE,2,527,29,115,383,0.0672557567,0.214972969,0.7177712743,0.4147104603,0.6267550414,0.3063772533,Inf,0.0030155843,0.0026085106,0.054054099,1.1498770154,18,2:0,-443.4743621701,-811.7423177576,-862.94872434009994,38.7576430923,-772.9846746653,2.7470413146,-808.9952764423,12,P
TRUE,2,2965,118,398,2449,0.0500500006,0.1320334533,0.8179165461,0.1803387942,0.4720996981,0.2289286042,Inf,0.0020303206,0.0014839495,0.051612899,1.4009519524,18,2:1,-3823.1306000752,-7550.3256124132,-7622.2612001504,196.0110101337,-7354.3146022794,12.7789001236,-7537.5467122947,12,P
