tail,K_beta,N,N_Tail,N_C1,N_C2,pi_Tail,pi_C1,pi_C2,Mean_Tail,Mean_C1,Mean_C2,Variance_Tail,Variance_C1,Variance_C2,Scale_Tail,Shape_Tail,id,karyotype,NLL,BIC,AIC,entropy,ICL,reduced.entropy,reICL,size,PF,ratioM,ratioV,ratioN,minpi,QC,prob
FALSE,2,686,0,224,462,0,0.6739184241,0.3260815759,NA,0.6500192693,0.3038165422,NA,0.0032645563,0.0046979655,NA,NA,13,2:0,-470.5724771242,-888.8979332265,-925.1449542483,8.1170316989,-880.7809015276,8.1170316989,-880.780901533,8,P,0.1395124327104531,1.4390823953625795,2.057777777777778,0.3260815759,PASS,0.9196121714474204
TRUE,2,3018,69,635,2314,0.0343104923,0.2092926849,0.7563968229,0.3003855214,0.4838238313,0.2307941039,Inf,0.0036562262,0.0023560121,0.051020399,1.2046011828,13,2:1,-2972.0725409817,-5847.9968862915,-5920.1450819635,263.1357687401,-5584.8611175514,74.3512203242,-5773.6456660194,12,P,0.09634398420175616,1.5518707225654742,3.639937106918239,0.2092926849,PASS,0.9492163392618516
TRUE,2,5134,96,1785,3253,0.0302800464,0.6243882208,0.3453317328,1.4226973126,0.3834169647,0.1842755984,Inf,0.0021436878,0.0015824886,0.050955399,1.0371464913,13,2:2,-5487.0318009658,-10871.5399175943,-10950.0636019315,516.7936353181,-10354.7462822762,165.821363514,-10705.7185540578,12,P,0.0806713858431296,1.3546308011318375,1.8219484882418813,0.3453317328,PASS,0.978381074821073
FALSE,2,601,0,574,27,0,0.0903891139,0.9096108861,NA,0.4640595985,0.3218663419,NA,0.0049853688,0.0174556092,NA,NA,14,2:0,-636.7286244685,-1222.2684894608,-1257.4572489371,111.8120357976,-1110.4564536632,111.8120357976,-1110.4564535216,8,F,0.5582226592546986,3.5013676821662623,20.535714285714285,0.0903891139,FAIL,0.01286477002009775
TRUE,2,2752,66,520,2166,0.0388924333,0.776374001,0.1847335657,0.146338709,0.378524903,0.1811571074,Inf,0.0020694772,0.0015927056,0.052631599,1.5616606784,14,2:1,-3426.8268455925,-6758.6126927963,-6829.653691185,294.4513532809,-6464.1613395154,66.0819736841,-6692.5307190947,12,P,0.08948414132163407,1.2993469728492197,4.159309021113244,0.1847335657,PASS,0.9519302151821248
TRUE,2,2029,58,797,1174,0.0403795242,0.3963421454,0.5632783304,0.1821788374,0.4020610691,0.1981420106,Inf,0.0043985574,0.0015681094,0.052884599,1.4090251789,15,2:0,-1854.6820308666,-3617.9804816552,-3685.3640617331,278.7647804502,-3339.2157012051,132.3856622099,-3485.5948194673,12,P,0.029156098106132955,2.805006717005842,1.4724310776942355,0.3963421454,PASS,0.9660911002521602
TRUE,2,1250,28,155,1067,0.0311864617,0.8459453676,0.1228681707,0.0940620696,0.3220038108,0.1622202602,0.0269851319,0.0020087711,0.0010302527,0.050359699,2.1523333461,15,2:1,-1955.9990900242,-3826.4273940848,-3887.9981800484,101.104132534,-3725.3232615508,37.0958566026,-3789.3315374843,12,P,0.015020994276521149,1.9497848440484553,6.846153846153846,0.1228681707,PASS,0.9042489444381634
TRUE,2,180,47,5,128,0.3042528774,0.0274871477,0.668259975,0.1415770357,0.5551913076,0.2104016722,Inf,0.006895689,0.0077006606,0.051546399,1.5725428683,16,2:0,-176.0566580626,-289.7978339145,-328.1133161252,77.696381002,-212.1014529125,4.2587508406,-285.5390830735,12,F,0.6387209844618336,1.1167354850254994,21.5,0.0274871477,FAIL,0.07491519953256212
FALSE,2,72,0,33,39,0,0.5819938715,0.4180061285,NA,0.2523427504,0.154842365,NA,0.0011453545,0.0040532108,NA,NA,16,2:1,-92.2962355191,-150.379142086,-168.5924710381,24.2200452398,-126.1590968462,24.2200452398,-126.1590810572,8,F,0.37032487588264384,3.5388264506753146,1.1764705882352942,0.4180061285,PASS,0.66549039606121
FALSE,2,356,0,75,281,0,0.7938089274,0.2061910726,NA,0.2797391528,0.1351036008,NA,0.0017856667,0.0018733194,NA,NA,17,2:0,-477.3862029051,-907.77295996350006,-938.7724058103,38.0739614774,-869.698998486,38.0739614774,-869.6989984914,8,P,0.0705529026876981,1.049086820065581,3.710526315789474,0.2061910726,PASS,0.9035780640469224
TRUE,2,4608,44,1041,3523,0.0317012429,0.7421766823,0.2261220747,0.0906444676,0.2381131184,0.117385436,0.0140894166,0.0015985509,9.725885e-4,0.050504999,2.2582378576,17,2:1,-7150.7001812218,-14200.1737720151,-14277.4003624436,910.6888019657,-13289.4849700494,454.3418605743,-13745.8319113552,12,P,0.028472411177141055,1.6436045665767178,3.381957773512476,0.2261220747,PASS,0.9415653303008735
TRUE,2,3252,71,1146,2035,0.0479096832,0.3583532715,0.5937370453,0.0783745331,0.2041819934,0.103734422,0.0027527917,0.001731645,6.31067e-4,0.050359699,2.7976083248,17,2:2,-5113.1628668624,-10129.2814280767,-10202.3257337248,897.8307166957,-9231.4507113811,487.8497321339,-9641.4316961713,12,P,0.03168524523132743,2.743995487008511,1.7750653879686138,0.3583532715,PASS,0.939838891220176
TRUE,2,527,29,115,383,0.0672557567,0.214972969,0.7177712743,0.4147104603,0.6267550414,0.3063772533,Inf,0.0030155843,0.0026085106,0.054054099,1.1498770154,18,2:0,-443.4743621701,-811.7423177576,-862.94872434009994,38.7576430923,-772.9846746653,2.7470413146,-808.9952764423,12,P,0.04569704391954632,1.1560559884249657,3.310344827586207,0.214972969,PASS,0.9688574450316139
TRUE,2,2965,118,398,2449,0.0500500006,0.1320334533,0.8179165461,0.1803387942,0.4720996981,0.2289286042,Inf,0.0020303206,0.0014839495,0.051612899,1.4009519524,18,2:1,-3823.1306000752,-7550.3256124132,-7622.2612001504,196.0110101337,-7354.3146022794,12.7789001236,-7537.5467122947,12,P,0.06221367465097227,1.36818712496618,6.140350877192983,0.1320334533,PASS,0.9339972811442773
TRUE,2,660,25,103,532,0.0505573476,0.7966499276,0.1527927247,0.1501858429,0.3769030833,0.1843173846,Inf,0.001852891,9.656553e-4,0.052325599,1.5346972062,18,2:2,-959.3591225644,-1840.8113671086,-1894.7182451288,53.9020699223,-1786.9092971863,6.4770767004,-1834.3342904127,12,P,0.04485911146115518,1.9187913119722948,5.125,0.1527927247,PASS,0.9268254928486147
TRUE,2,1243,95,664,484,0.1081574168,0.3670484059,0.5247941773,0.1486764329,0.3356361745,0.1595532237,Inf,0.0029546122,0.0017922602,0.050113899,1.5084477541,19,2:0,-1150.2464409736,-2214.989484849,-2276.4928819471,314.440460644,-1900.549024205,105.9240303512,-2109.0654544553,12,P,0.10360008225894601,1.6485397600192204,1.3711340206185567,0.3670484059,PASS,0.975405350678035
TRUE,2,2217,97,872,1248,0.0645435793,0.549598468,0.3858579527,0.0989312426,0.2791224803,0.1390647512,0.0694743201,0.0016265242,0.0012758871,0.051094899,2.0681188229,19,2:1,-2743.4121694247,-5394.377416334,-5462.8243388494,476.9428944016,-4917.4345219324,193.7480279468,-5200.6293884322,12,P,0.007140399644276929,1.2748182813353939,1.4306987399770905,0.3858579527,PASS,0.9860867613146501
TRUE,2,4253,956,1272,2025,0.2326231824,0.3798787232,0.3874980943,0.2704812778,0.4792282361,0.3277033815,Inf,0.041186068,0.0020210212,0.050420199,1.2291191122,20,2:0,-1996.9426837692,-3893.6208087954,-3969.8853675384,2105.1807659814,-1788.440042814,1229.2435665616,-2664.3771576736,12,R,0.5376158344585162,20.37884016258711,1.591516103692066,0.3798787232,FAIL,4.303104174773825e-5
TRUE,2,2756,676,887,1193,0.2898971598,0.3091296291,0.4009732111,0.2595440339,0.4585120647,0.2524177836,Inf,0.002249057,0.0026369259,0.050314499,1.2404751271,20,2:1,-1907.3489751481,-3719.6395227106,-3790.6979502962,682.7347291222,-3036.9047935884,124.3992763705,-3595.2402462849,12,P,0.1835191714281419,1.1724584570333254,1.3445945945945945,0.3091296291,PASS,0.9753257071236443
TRUE,2,796,147,317,332,0.2102680965,0.3966910814,0.393040822,0.1366925843,0.7426550607,0.3162900269,Inf,0.0027786428,0.0048495912,0.054054099,1.6541032158,21,2:0,-420.3213637169,-760.4875372037,-816.6427274338,87.6321034135,-672.8554337902,2.941463712,-757.5460734927,12,P,0.3480192150819912,1.7453093287125645,1.0471698113207548,0.393040822,PASS,0.9415902795867622
TRUE,2,4200,484,899,2817,0.1392218325,0.2098177477,0.6509604198,0.1347271028,0.5276004576,0.2425563105,Inf,0.0022593614,0.0028059467,0.050314499,1.5960543419,21,2:1,-3506.2481498355,-6912.3822220197,-6988.496299671,552.1428053929,-6360.2394166268,33.3750438459,-6879.0071781849,12,P,0.17516689840976118,1.2419202611853066,3.131111111111111,0.2098177477,PASS,0.9610893652931544
TRUE,2,283,34,126,123,0.1706468092,0.3937558254,0.4355973654,0.1974862548,0.4127644768,0.1999422354,Inf,0.0014912818,0.0028403268,0.054945099,1.3854683139,21,2:2,-245.0897740579,-422.4341853442,-466.1795481159,67.3640279836,-355.0701573606,9.575056771,-412.8591285679,12,P,0.06441863558358518,1.904621111851563,1.0241935483870968,0.3937558254,PASS,0.9802645277568629
TRUE,2,5282,1108,239,3935,0.2444918509,0.0400765836,0.7154315655,0.5347627733,0.6418986122,0.3063700543,Inf,0.0026206894,0.0028349137,0.050724599,1.1047946251,22,2:0,-4700.6329531878,-9298.4011852614,-9377.2659063757,908.0859832465,-8390.3152020149,3.6952358869,-9294.7059493641,12,F,0.09517413073096126,1.0817434908539714,16.4,0.0400765836,PASS,0.8107471799482446
FALSE,2,244,0,2,242,0,0.9925908946,0.0074091054,NA,0.6309136787,0.2394515486,NA,2.212951e-4,0.0098803442,NA,NA,22,2:1,-208.8402646825,-373.7031835627,-401.68052936510003,0.615147074,-373.0880364887,0.615147074,-373.088036493,8,P,0.6348281411782861,44.64782184512897,81,0.0074091054,FAIL,2.2204460492503126e-16
FALSE,2,772,0,439,333,0,0.4375799584,0.5624200416,NA,0.5793761981,0.2188639406,NA,0.0031412867,0.0094698627,NA,NA,23,2:0,-456.9959421197,-860.8000078392,-897.9918842394,31.3401444077,-829.4598634315,31.3401444077,-829.4598633597,8,R,0.6471980560693602,3.0146445085703255,1.3173652694610778,0.4375799584,FAIL,0.4482948317655955
TRUE,2,5854,588,1842,3424,0.1284074648,0.5638584182,0.307734117,0.1940601939,0.4419236702,0.213479215,Inf,0.0022967698,0.0022032312,0.050420199,1.3510178278,23,2:1,-4965.9857806445,-9827.8729956819,-9907.9715612889,1039.4699733096,-8788.4030223723,130.6538049637,-9697.219190653,12,P,0.07010162652134566,1.042455190358597,1.8583830710797613,0.307734117,PASS,0.9886309888715108
TRUE,2,2747,217,1583,947,0.1007066879,0.3293487248,0.5699445873,0.1085641371,0.3603620007,0.1651928705,Inf,0.0016695507,0.0020759363,0.050359699,1.8652209459,23,2:2,-2827.6922933831,-5560.3654105331,-5631.3845867662,464.4874515996,-5095.8779589334,94.8486331887,-5465.5167772849,12,P,0.18146218786118862,1.243410158194058,1.6708860759493671,0.3293487248,PASS,0.9721753575237823
FALSE,2,1064,0,458,606,0,0.5747667819,0.4252332181,NA,0.6840038561,0.2939143749,NA,0.0027308149,0.0113303208,NA,NA,24,2:0,-412.1074637633,-768.4566021673,-808.2149275266,28.0667614495,-740.3898407179,28.0667614495,-740.3898406475,8,R,0.32722151249908116,4.149062171881368,1.3224400871459694,0.4252332181,PASS,0.6311216727997243
TRUE,2,2816,167,508,2141,0.0694360819,0.7508919485,0.1796719697,0.1097051176,0.4946888194,0.2434138491,Inf,0.0020260216,0.0014210702,0.050279299,1.846085089,24,2:1,-3338.9352254089,-6582.5535782105,-6653.8704508179,145.790166609,-6436.7634116015,13.257672012,-6569.2959062031,12,P,0.032295291451434505,1.4257012778116098,4.208251473477406,0.1796719697,PASS,0.9592411822758807
TRUE,2,2041,483,668,890,0.2824010252,0.3144961393,0.4031028355,0.2744499213,0.5181025004,0.2445527496,Inf,0.0036339372,0.0022469058,0.051094899,1.2287609138,25,2:0,-1261.5308800391,-2431.6074181244,-2499.0617600781,464.2818934904,-1967.325524634,26.4896895907,-2405.1177285244,12,P,0.11857156072638197,1.6173073210278777,1.3318385650224216,0.3144961393,PASS,0.9785094188140573
TRUE,2,7426,1151,1484,4791,0.1935122915,0.613415324,0.1930723845,0.1327438551,0.4066080934,0.1916233018,Inf,0.0022977972,0.0017457844,0.050279299,1.6097079934,25,2:1,-7648.2345407333,-15189.5161698498,-15272.4690814666,1604.6068572875,-13584.9093125623,148.7361401884,-15040.7800296212,12,P,0.12191361687516844,1.3161975785784317,3.226936026936027,0.1930723845,PASS,0.9810568943122913
TRUE,2,2122,388,402,1332,0.2207319937,0.5970681564,0.18219985,0.1316905835,0.38941231,0.1939178611,Inf,0.002079728,0.0012374735,0.050279299,1.6175961887,25,2:2,-2363.8359727875,-4635.7505737448,-4703.6719455749,420.8148742163,-4214.9356995285,37.4991646081,-4598.2514091309,12,P,0.00813018352748296,1.6806242719541065,3.3076923076923075,0.18219985,PASS,0.9691886972215707
FALSE,2,112,0,95,17,0,0.1547476812,0.8452523188,NA,0.4497358723,0.172578546,NA,0.0050322557,0.0030381042,NA,NA,26,2:0,-97.6129119404,-157.4778329104,-179.2258238807,3.3785153442,-154.0993175662,3.3785153442,-154.0993175566,8,F,0.605977873402642,1.656380218953649,5.333333333333333,0.1547476812,FAIL,0.3104342578952556
TRUE,2,1035,198,287,550,0.229681692,0.2676465413,0.5026717666,0.4023427025,0.4643878054,0.240323514,Inf,0.0020689551,0.0014425221,0.051136399,1.1456021674,27,2:1,-845.422280132,-1607.5386797956,-1666.844560264,198.6580083986,-1408.880671397,10.2964209796,-1597.2422588118,12,P,0.06765556282603269,1.4342623242999188,1.9131944444444444,0.2676465413,PASS,0.9759210731441964
